"Event.ID","Purchase.Date","Customer.ID","City","State","Postal.Code","Sale.Location","Delivery.Method"
"33","2/3/2020 13:38","3672","Cleveland","OH","44106","Web","E-Ticket"
"35","2/3/2020 13:25","2518","Cleveland","OH","44111","Web","E-Ticket"
"35","2/3/2020 13:25","2518","Cleveland","OH","44111","Web","E-Ticket"
"32","2/3/2020 13:25","2518","Cleveland","OH","44111","Web","E-Ticket"
"32","2/3/2020 13:25","2518","Cleveland","OH","44111","Web","E-Ticket"
"35","2/3/2020 13:18","2730","Dayton","OH","45419","POS","E-Ticket"
"35","2/3/2020 13:18","2730","Dayton","OH","45419","POS","E-Ticket"
"20","2/3/2020 13:05","3065","Lakewood","OH","44107","Web","E-Ticket"
"20","2/3/2020 13:02","4948","Lakewood","OH","44107","Web","E-Ticket"
"20","2/3/2020 13:02","4948","Lakewood","OH","44107","Web","E-Ticket"
"21","2/3/2020 12:00","1342","Cleveland Heights","OH","44106","Web","Will Call"
"35","2/3/2020 11:05","4881","Brook Park","OH","44142","Web","E-Ticket"
"19","2/3/2020 9:58","621","Grafton","OH","44044","Web","E-Ticket"
"19","2/3/2020 9:58","621","Grafton","OH","44044","Web","E-Ticket"
"28","2/3/2020 8:35","4280","Cleveland","OH","44143","Web","E-Ticket"
"28","2/3/2020 8:35","4280","Cleveland","OH","44143","Web","E-Ticket"
"19","2/2/2020 17:27","1756","Westlake","OH","44145","Web","E-Ticket"
"19","2/2/2020 17:27","1756","Westlake","OH","44145","Web","E-Ticket"
"24","2/2/2020 16:10","3187","Cleveland","OH","44120","Web","E-Ticket"
"24","2/2/2020 16:10","3187","Cleveland","OH","44120","Web","E-Ticket"
"19","2/2/2020 13:25","3338","Madison","OH","44057","Web","E-Ticket"
"21","2/2/2020 12:03","4675","Painesville","OH","44077","Web","E-Ticket"
"21","2/2/2020 12:03","4675","Painesville","OH","44077","Web","E-Ticket"
"19","2/2/2020 11:49","4675","Painesville","OH","44077","Web","E-Ticket"
"19","2/2/2020 11:49","4675","Painesville","OH","44077","Web","E-Ticket"
"21","2/2/2020 9:09","4009","Beachwood","OH","44122","Web","E-Ticket"
"21","2/2/2020 0:48","5019","Painesville","OH","44077","Web","E-Ticket"
"21","2/2/2020 0:48","5019","Painesville","OH","44077","Web","E-Ticket"
"18","2/1/2020 17:46","3751","Cleveland","OH","44118","POS","Will Call"
"18","2/1/2020 17:41","3751","Cleveland","OH","44118","POS","Will Call"
"18","2/1/2020 17:09","4598","Cleveland","OH","44118","Web","E-Ticket"
"18","2/1/2020 16:33","4243","Cleveland","OH","44124","Web","Will Call"
"24","2/1/2020 16:27","4243","Cleveland","OH","44124","Web","Will Call"
"19","2/1/2020 16:21","2461","Cleveland","OH","44106","Web","E-Ticket"
"24","2/1/2020 13:54","1584","Bay Village","OH","44140","Web","E-Ticket"
"24","2/1/2020 13:54","1584","Bay Village","OH","44140","Web","E-Ticket"
"35","2/1/2020 0:42","4853","Chesterland","OH","44026","Web","E-Ticket"
"35","2/1/2020 0:42","4853","Chesterland","OH","44026","Web","E-Ticket"
"18","2/1/2020 0:22","3828","Cleveland","OH","44120","Web","Will Call"
"18","2/1/2020 0:22","3828","Cleveland","OH","44120","Web","Will Call"
"18","1/31/2020 22:27","2785","Cleveland","OH","44115","Web","E-Ticket"
"18","1/31/2020 21:41","72","Chagrin Falls","OH","44023","Web","E-Ticket"
"18","1/31/2020 21:41","72","Chagrin Falls","OH","44023","Web","E-Ticket"
